mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940634999647,237652,200304,178720,262778,207488,197241,43.7,-77.9,L
720575940635070063,215952,304708,220280,245425,296002,228385,5.3,-27.5,L
720575940635080811,211868,255920,191720,245042,252414,205014,20.6,-54.9,L
720575940635178744,208364,293012,203960,243239,281835,216184,8.3,-37.7,L
720575940635215770,308168,370596,189200,328465,358385,197359,-62.6,-43.1,L
720575940635386464,225304,178600,245600,246573,188503,249366,54.1,-1.9,L
720575940635500640,329316,347824,155400,343664,338654,167528,-57.6,-109.4,L
720575940635716703,283268,358312,203240,302278,349117,209795,-40.5,-32.1,L
720575940635750512,298772,350108,164680,320552,338210,178873,-45.6,-72.4,L
720575940635869303,206488,279184,210400,237823,269142,222353,14.7,-34.1,L
720575940636193784,302100,196272,148240,312018,203369,162278,30,-144.2,L
720575940636195320,305128,371844,194160,325895,360506,204197,-62.1,-28,L
720575940636230286,229644,330132,232840,255080,316398,241374,-4.8,-17.8,L
720575940636258623,298668,253844,129920,310883,253173,150016,3.7,-132.7,L
720575940636481528,233052,170700,232040,255699,180072,239117,60.4,-17.9,L
720575940636525687,341180,333444,156640,344723,333453,162312,-53.4,-115.5,L
720575940636567408,208028,240764,196600,242500,240072,210269,27.4,-51.3,L
720575940636572016,269196,239788,143920,286916,241046,164262,15.8,-110.2,L
720575940636637807,278908,324672,154320,300709,315491,171873,-22.9,-78.3,L
720575940636735088,310972,325312,141480,329805,318708,157782,-35.2,-107.2,L
720575940636985230,244996,281664,156440,267985,273861,178439,5,-79.9,L
720575940637019255,205220,260956,254440,230613,259560,260603,22.6,-0.5,L
720575940637192805,244048,218024,168480,264911,221347,188378,32.2,-85.5,L
720575940637213047,211696,271464,262720,227874,265730,265309,NA,NA,L
720575940637219726,245420,329432,187480,271591,317158,201112,-13.7,-48.9,L
720575940637229175,265268,165744,237280,276229,168185,239612,71.2,-13.6,L
720575940637305054,238344,214204,172840,262426,218187,191796,35.3,-80.8,L
720575940637399262,252348,171408,190440,274420,181838,206752,62.9,-74.7,L
720575940637413006,284196,273192,132400,300026,269972,153220,0.4,-112.6,L
720575940637468016,218892,213016,194520,248735,218309,209507,39.1,-56.3,L
720575940637535589,213748,200928,220360,240833,207507,230472,43.3,-27.4,L
720575940637557567,203888,272232,207120,238463,263284,218893,16.7,-38.5,L
720575940637562458,283472,284180,135240,300666,280301,154199,-5.4,-109.1,L
720575940637643748,265336,236428,146720,282985,237423,167447,18.5,-106.4,L
720575940637889139,299708,312032,137840,318038,306684,155289,-23.1,-104.4,L
720575940637933656,322260,298124,129040,333081,294706,143388,-20.3,-128,L
720575940638114630,208732,283712,220960,237165,278397,229299,11.1,-26.4,L
720575940638256693,289988,371388,208480,310425,356736,215524,-49.8,-21.7,L
720575940638279999,241728,269728,160280,265384,264896,180424,9,-81.1,L
720575940638397929,222764,318200,246120,248305,312843,252396,-0.2,-10.5,L
720575940638571583,208384,286460,200640,243475,277081,212837,10.3,-41.1,L
720575940638675253,252416,294936,152720,276795,288278,173740,-2.2,-80,L
720575940638692405,238428,276472,162880,263487,270304,182865,7.3,-75.1,L
720575940638694197,247108,273244,155640,269659,267708,175687,6.7,-85,L
720575940638703669,232536,337088,220640,261320,322233,230299,-10.4,-26,L
720575940638763061,236140,296472,167240,264427,288093,186012,0.2,-67,L
720575940638779994,238432,164248,239040,258454,174522,246482,64,-4,L
720575940638789454,263128,355536,200040,288931,339727,210602,-29.5,-35.3,L
720575940638823477,257284,169944,184360,274949,184170,201969,59.7,-82.2,L
720575940638896216,319820,336540,146000,334235,327118,161325,-42.8,-106.7,L
