id,Round,edits
720575940628221456,round1_edits,5
720575940628321284,round1_edits,4
720575940628450503,round1_edits,102
720575940628706280,round1_edits,3
720575940628784762,round1_edits,13
720575940628787815,round1_edits,4
720575940629254204,round1_edits,10
720575940629386496,round1_edits,11
720575940629421879,round1_edits,7
720575940629443543,round1_edits,6
720575940629756524,round1_edits,12
720575940630692412,round1_edits,9
720575940631066875,round1_edits,62
720575940631232249,round1_edits,4
720575940631421231,round1_edits,10
720575940631479460,round1_edits,16
720575940631634975,round1_edits,7
720575940631709900,round1_edits,7
720575940632461196,round1_edits,9
720575940632669666,round1_edits,5
720575940632798177,round1_edits,1
720575940633261267,round1_edits,6
720575940633871315,round1_edits,46
720575940634151348,round1_edits,1
720575940634745780,round1_edits,3
720575940635176032,round1_edits,24
720575940635404919,round1_edits,3
720575940636083380,round1_edits,8
720575940637478234,round1_edits,7
720575940638825193,round1_edits,5
720575940639872821,round1_edits,21
720575940647352196,round1_edits,6
720575940655346337,round1_edits,6
720575940660579201,round1_edits,10
720575940604304742,round2_edits,40
720575940604345632,round2_edits,7
720575940604885792,round2_edits,82
720575940605791422,round2_edits,27
720575940606040352,round2_edits,9
720575940607245186,round2_edits,17
720575940607582729,round2_edits,30
720575940607603548,round2_edits,34
720575940607630172,round2_edits,13
720575940611063921,round2_edits,7
720575940611335666,round2_edits,7
720575940611532458,round2_edits,12
720575940611700430,round2_edits,7
720575940612646883,round2_edits,51
720575940613218418,round2_edits,32
720575940613681662,round2_edits,35
720575940613692414,round2_edits,28
720575940613735934,round2_edits,35
720575940613764862,round2_edits,27
720575940614282705,round2_edits,36
720575940614421471,round2_edits,31
720575940614499634,round2_edits,17
720575940615406698,round2_edits,41
720575940616021899,round2_edits,61
720575940616445638,round2_edits,28
720575940617087718,round2_edits,15
720575940617282117,round2_edits,34
720575940617283101,round2_edits,7
720575940617311574,round2_edits,28
720575940617979682,round2_edits,30
720575940618543445,round2_edits,12
720575940618639105,round2_edits,10
720575940619442113,round2_edits,68
720575940619768923,round2_edits,15
720575940619883758,round2_edits,40
720575940620019265,round2_edits,80
720575940620151873,round2_edits,8
720575940620275565,round2_edits,77
720575940620345429,round2_edits,26
720575940620465524,round2_edits,40
720575940620510657,round2_edits,36
720575940620605099,round2_edits,13
720575940620650661,round2_edits,1
720575940620658928,round2_edits,36
720575940620785030,round2_edits,11
720575940620883956,round2_edits,41
720575940621116353,round2_edits,30
720575940621250651,round2_edits,91
720575940621299369,round2_edits,9
